,0
0,"""the room was damp and cold, that shops don't open until 11 and to find a non Indian breakfast is a struggle. """
1,"""nice hotel, with a swimming pool, for five great nights"""
2,"""All that in one area makes for quite a resourceful place"""
3,"""lots of accommodation, seaside restaurants and shopping opportunities. Even surfing!"""
4,"""no real menus available for a Christmas meal in the restaurants"" "
5,"""improper maintainance"""
6,"""struggled to park our vehicle"""
7,"""charged Rs.200 for half an hour which seemed costlier to us"""
8,"""agency people were perfect and they were on time"" "
9,"""We climbed up steps to reach the top. It was so much tiring"""
10,"""safaris only twice a day"""
11,"""luxury hotel. it looks amazing"""
12,"""room was clean and good"""
13,"""had some excellent guides"""
14,"""doesnt have a swim up bar."" "
15,"""fantastic, wonderful, delightful home stay"""
16,"""fantastic Hotel"" "
17,"""mile-long queue for ticket reservations"""
18,"""there were absolutely none around at 8am in the morning when I needed one to take me the half-hour journey"""
19,"""It is seriously stunning for the absolutely enormous room I have here"""
20,"""wifi is intermittent"""
21,"""I was given a super-deluxe, temple-view double room for the price of a standard room, and was not disappointed in my stay at the Hotel """
22,"""guesthouse, great choice"""
23,"""prices are high"""
24,"""Have a bad internet connection"""
25,"""He's supposed to go at 11:10, but right now I find he has a delay of about 40 minutes"""
26,"""they have an air-conditioned area where they send me as a tourist immediately"""
27,"""you cannot pre-book, and need to queue up at 5am on the day to buy a ticket,"""
28,"""best local restaurant"""
29,"""As it is far too cold to consider showering, we dress and go to breakfast. This does not go well"""
30,"""the room/tent is spacious and comfortable"" "
31,"""The stench rises like a miasma from hell. The urinal has tiled walls about three feet high"""
32,"""This comprises some open lockers with keys hanging out. The keys are not used and goods are placed inside and not locked up"""
33,"""50 minutes later, still no food despite multiple requests"""
34,"""hotel is a welcoming oasis of calm"""
35,"""non locking toilet"" "
36,"""Ours is called the Ideal Beach Resort and proves very comfortable"""
37,"""Hotel Mahabs in Mamallapuram was just lovely and right in the centre of town."" "
38,"""We were in the dormitory area which was large and comfortable. There were adjacent shower and toilet facilities to our room,"""
39,"""The rooms were very comfortable and large,"""
40,"""So here we are at the Carlton Hotel. Full buffet breakfast and dinner, complimentary tour package for 4 hours, 30 minutes boating on the lake, 200 channels of satellite TV plus entertainment action all day long. Bingo at 6 pm!! Did I ment"
41,""""
42,"""We had planned two nights here but the hotel we had booked couldn't process a Visa transaction and we had limited cash."""
43,"""Our first night unfortunately we had to sleep in a small downstairs room with the noisy kitchen outside the interior window"" "
44,"""after a short queue wait and a few attempts we came away with 2 notes, the maximum we were allowed. Changing these big notes isn't causing to much headache and $40 can go a long way."""
45,"""all the restaurants to date didn't serve alcohol so we wandered down to a place called Moonraker's in backpackistan and ordered two large bottles of the local brew called 'British Imperial Lager'""."
46,"""but got upgraded for the second night to a much larger room with a balcony/exterior landing."" "
47,"""Still no power in the town."" "
48,"""They provide the bus, jeep or van depending on the number of people"""
49,"""At the lake too, there was nothing to fill my appetite and I had to settle for a milk shake"""
50,"""Hotel Lake View was definitely a very well located and maintained restaurant. There were cottages here which was located next to a lake."""
51,"""It's a 'resort' town with lots of development along the beach"""
52,"""Our hotel in Chennai had Buffet breakfast included in our room rate"" "
53,"""Limited power, no Internet, no banks open and credit cards not being processed due to connection problems. """
54,"""Both were tricky to find because the signs on the street had blown down."" "
55,"""At one stage we had to climb up 4 stories on to the roof of the hotel to try and get a cell signal..a very funny and unusual place to be transacting business."""
56,"""There were no ATM's visible at the airport, they were probably in the part of the airport that was missing some of its roof! """
57,"""There was no one staffing the pre-paid taxi counter where we had hoped to buy a taxi chit on a credit card and avoid the hassle of the taxi touts outside"""
58,"""ATMs still wouldn't be working"""
59,"""The architecture is from the times of British and still maintained well."""
60,"""facility was good"""
61,"""WIFI readily available in most places"""
62,"""loads of resorts"""
63,"""It was a massive pool and full of broken bricks from the construction site next to it"""
64,"""one ticket gets you into bot"
65,""""
66,"""It was a large dining room like restaurant. We could not fathom as to what the Hi-Tech meant."""
67,question still lingered as to what is Hi-Tech about it. 
68,"""environment-friendly mode of transportation facility was highly appreciable"""
69,"""Each passenger was provided with a dirty life jacket"""
70,"""multi-religious population dwelling in a perfect harmony."""
71,"""chaotic little seating room"""
72,"""I search out renting a bike but to no prevail"""
73,"""town vomiting with hotels & chocolate shops"""
74,"""lovely hotels"""
75,"""facility was good"""
76,"""used their free WiFi"" "
77,"""the attraction here is more the resort hotels"""
78,"""Cardamon house which has attractive gardens and a swimming pool	"
79,"""Some bloggers have mentioned that there is no food in Pichavaram."""
80,"""The room was well set up and the facilities clean and functional."""
81,"""There were issues with the hotel ( they insist it is not paid for) but they finally let us in."""
82,"""You could hire bicycles or ride a horse"""
83,"""The carriages are air-conditioned  evaporative systems one of the germans later explained, and pretty sound-proof, so little clackety clack."""
84,"""The biggest problem was the jerking starts and stops. Lets not mention the washrooms."""
85,"""Obviously a lot of development has been happening in these areas."""
86,"""Nice enough hotel with a pool and reliable Wifi."""
87,"""We cheered when we arrived at our hotel which is near the lake and very nice""."
88,"""With all the chaos there is also incredible management. There are electronic signs nowadays at various intervals which tell you the trains number that is arriving as it comes and others that point out where your carriage will stop and it does!"""
89,"""New clean linen arrived for us and the old ones taken away, its amazing how efficient it all is and how it works."""
90,"""did I tell you how mind boggling it is to actually find the train you need from all the choices you have  fast trains, express trains some stopping lots and some hardly at all."""
91,"""But it is such nice room with all the fruit we are happy."""
92,"""There are also A LOT of toilets and showers, some outdoor, some covered, all separated drop toilets and bucket showers"""
93,"""It's very comfortable and we have about a metre between beds, so it doesn't feel at all cramped."""
94,"""but at least they had a hot shower in the evening (and only in the evening) and WIFI."""
95,"""Got good seats in an air conditioned carriage with a table so most of us proceeded to play UNO followed by cards and then 'who am I?''"
96,"""If only the buses had signs in Tamil and English it would make my life so much easier!"""
97,"""We only have 5 beds for 6 of us and water is scarce with regular power cuts."""
98,"""access to the internet has been dodgy!"""
99,"""but we'll probably have a powercut soon"""
100,"""there was no air-con in the rooms."""
101,"""While there we swapped stories of the work we have been doing and shared our frustrations of """"Indian Time"""", how things never go to plan and how little time we actually have left."""
102,"""Wifi has been down since we arrived and internet is very spotty, (as is electricity as it was last night when we had to sleep in a hot room without a fan)"""
103,"""Sadly all the resorts he had contacted were either full or non-existent."""
104,"""Where we sleep now is my idea of a the perfect room: it's uncomplicated, the widow frames, doors and all furniture are handmade solid wood, the floor is covered in spanish style tiles, and the space is small - just enough."""
105,"""since my mobile will not work in Auroville,"""
106,"""Add the air-conditioning and the comfortable cushions that you are given to sit, I was more intent on not falling asleep after the hot sun outside."""
107,"""The streets are not lighted"""
108,"""Being in 1stclass you'd expect top quality comfort etc, you do get a bed sheet and blanket, but the blanket is made from that fucking horrible itchy material! And the A/C is actually way too cold, and as such I end up catching the flu!"""
109,"""and with the combination of my flip-flops, haste and heavy bag I manage to spectacularly fall over, one bag goes flying, I do a few rolls...There wasn't any wet floor signs, this is India, you're meant to have common sense"""
110,"""We waited in vain as it never came. This was our second time in India that we had experienced this let down."""
111,"""I was disappointed to note that none of the restaurants within a stones throw were offering a Christmas dinner,"""
112,"""there are enough busses to cope with demand so we are not crammed in"""
113,"""Still lots of power cuts though."""
114,"""We even got to rest in an A/C room before the train arrived"""
115,"""Cockroaches coming out of the cracks in the wall?"""
116,"""There were two whole buses of foreigners going, all from various organized tours."""
117,"""Rooms were big and had balcony."""
118,"""We took one which is offered as free by some of the volunteers there"""
119,"""Sunvalley management has also kept a local guide book in each rooms for help of visitors."""
120,"""barsthere arent any in Tamil Nadu,"""
121,"""owner was stressing that his cottages had Geysers & Heaters,"""
122,"""We never officially met the owner, and the staff was rarely anywhere to be found"""
123,"""We had some difficulty figuring out which bus to take"""
124,"""We left early the next morning for the Chennai airport via the taxi we'd booked through the hotel."""
125,"""in a guesthouse with cold water only, electricity only a few hours a day"""
126,"""I was glad that the temple committee do not have such stringent rules and regulations on foreigners."""
127,"""I made all the arrangements from booking the cab, Lodge, Dance & dinner"""
128,"""I then found out nowhere had wifi."""
129,"""The hotel was pretty horrible and the room wasnt ready"""
130,"""My new room was actually worse than the last one,"""
131,"""the pictures and the price we paid didnt really live up to what we were expecting of our hotel and so we ended up in a pretty depressing room"""
132,"""the place looking like some form of prison carriage used to ferry convicts about the country"""
133,"""Its a decent hotel near town bus station and you will get a good AC double room"""
134,"""The information is not displayed anywhere except at the ticket counter"""
135,"""we are blissed to have such a room where we can come together in the middle but have beds that are so far apart that its like we have a private space."""
136,"""it was a resort type complex but our very spacious rooms with the best beds so far"""
137,"""Indian Panorama is the company and we can't praise them highly enough for organising such a fantastic holiday."""
138,"""Thanks to PLA Residency, Thanjaore and Rayas Annexe , Kumbakonam for the Excellent stay and a Neat Food.The Service was Good and to the requirement."""
139,"""ultra-modern, large restaurant with an excellent buffet featuring a wide variety of Indian foods"""
140,"""I was not best pleased and had a right moan at the bloke in charge."""
141,"""AtCoonoorwe got on a small train to climb to Ooty."""
142,"""it only took one look and we almost ran out of the hostel. Next one: full, next one: full, next one: full..."""
143,"""we could not get any money from the ATM"""
144,"""when we wanted to pay by card, they wanted to charge an extra 2%."""
145,"""The only downside to the place was the constent power cuts"""
146,"""wherever you travel, you have buses in quick intervals."""
147,"""This vehicle was overflowing with local crowds."""
148,"""I was a bit surprised, that such a huge city has no outdoor shops."""
149,"""In Kodaikanal there was very often power breakdown."""
150,"""This train seems to be just for tourists"""
151,"""Shops, cafes (with real coffee!),"""
152,"""Coimbatore Railway Station has a variety of lodges and accommodation for nearly every type of traveler."""
153,"""I have decided to dedicate a few good words to the place."""
154,"""We waited embarrassingly for much more than an hour for the food to arrive and when it did, it was cold pizza!"""
155,"""The room was ok ok not so good in terms of housekeeping or maintenance"""
156,"""In the toilets we peered into the cubicles and recoiled in horror."""
157,"""We three (my wife, son and myself) checked in Hotel Vivek where we had booked a room thru net."""
